CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn,preds
667,Spain,Female,34,5,0.0,2,1,0,163830.64,0,"[0.8841991159382764, 0.11580088406172358]"
427,Germany,Male,42,1,75681.52,1,1,1,57098.0,0,"[0.5047711521303937, 0.4952288478696063]"
535,France,Female,29,2,112367.34,1,1,0,185630.76,0,"[0.7515409899613128, 0.24845901003868726]"
654,Spain,Male,40,5,105683.63,1,1,0,173617.09,0,"[0.798919242569524, 0.20108075743047601]"
850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0,"[0.8297066490050623, 0.1702933509949377]"
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,"[0.8628367876939469, 0.13716321230605316]"
807,France,Male,47,1,95120.59,1,0,0,127875.1,0,"[0.8183680926857532, 0.18163190731424686]"
598,Spain,Male,41,8,0.0,2,1,1,161954.43,0,"[0.845188880517516, 0.15481111948248405]"
636,Spain,Male,76,9,126534.6,1,1,1,39789.62,0,"[0.44504065972545803, 0.554959340274542]"
622,France,Female,32,6,169089.38,2,1,0,101057.95,0,"[0.7905258280585845, 0.2094741719414155]"
682,France,Female,33,8,74963.5,1,1,1,32770.56,0,"[0.8752731385907953, 0.1247268614092047]"
710,France,Male,54,6,171137.62,1,1,1,167023.95,1,"[0.7115134017421234, 0.28848659825787665]"
594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,"[0.7620501784735838, 0.23794982152641622]"
796,Spain,Male,41,8,107525.07,1,1,0,18510.41,0,"[0.8766106179075775, 0.12338938209242242]"
606,Germany,Male,38,3,99897.53,1,0,0,37054.65,0,"[0.7205142639438289, 0.27948573605617105]"
629,France,Male,44,5,0.0,4,0,0,117572.59,1,"[0.814424973351768, 0.185575026648232]"
529,France,Male,42,1,157498.9,1,1,1,82276.62,0,"[0.5667444854910562, 0.4332555145089439]"
814,France,Male,31,1,118870.92,1,1,0,101704.19,0,"[0.8940394024600679, 0.10596059753993212]"
640,France,Female,31,9,138857.59,1,1,0,48640.77,0,"[0.8396109530102093, 0.16038904698979076]"
809,France,Male,43,2,0.0,2,1,1,132908.07,0,"[0.8976816868570985, 0.10231831314290149]"
646,France,Female,42,3,175159.9,2,0,0,67124.48,1,"[0.6779753282159968, 0.32202467178400324]"
749,France,Female,26,6,0.0,2,0,1,34948.77,0,"[0.9378353789355282, 0.0621646210644718]"
684,France,Female,41,6,135203.81,2,1,1,121967.88,0,"[0.8023729287345038, 0.19762707126549622]"
623,France,Male,28,7,0.0,1,0,0,129526.57,0,"[0.9019275024122954, 0.0980724975877046]"
623,France,Male,28,7,0.0,1,0,0,129526.57,0,"[0.9019275024122954, 0.0980724975877046]"
803,Germany,Female,50,8,98173.02,1,0,0,22457.25,1,"[0.8230649789126868, 0.17693502108731315]"
835,Germany,Female,29,10,130420.2,2,0,0,106276.55,0,"[0.9387156262187113, 0.06128437378128875]"
624,Germany,Female,40,3,149961.99,2,1,0,104610.86,0,"[0.6947429514684487, 0.3052570485315513]"
677,France,Female,24,0,148298.59,2,0,0,182913.95,0,"[0.8482919292791743, 0.15170807072082573]"
710,Germany,Male,45,9,108231.37,1,1,1,188574.08,0,"[0.8417910124595487, 0.15820898754045126]"
653,France,Female,42,1,0.0,2,1,1,5768.32,0,"[0.7786698270196993, 0.22133017298030067]"
647,Spain,Male,28,6,149594.02,2,1,0,102325.19,0,"[0.8479989274706015, 0.1520010725293985]"
559,Spain,Female,40,5,139129.44,1,0,1,32635.54,0,"[0.6586219106470501, 0.3413780893529499]"
516,France,Female,40,9,0.0,2,0,1,33266.29,0,"[0.7758182195228417, 0.2241817804771583]"
731,Germany,Female,43,9,79120.27,1,0,0,548.52,1,"[0.8355151266249973, 0.16448487337500275]"
460,France,Female,27,7,0.0,2,1,0,156150.08,1,"[0.824620023069645, 0.17537997693035504]"
555,Germany,Male,41,10,113270.2,2,1,1,185387.14,0,"[0.7717938714197866, 0.22820612858021339]"
651,France,Male,53,7,0.0,2,1,1,130132.41,0,"[0.7905824221224644, 0.20941757787753557]"
527,Spain,Female,36,6,0.0,2,1,1,102280.29,0,"[0.7951886312250251, 0.20481136877497488]"
850,France,Female,62,1,124678.35,1,1,0,70916.0,1,"[0.6953117785890175, 0.30468822141098256]"
711,France,Female,37,8,113899.92,1,0,0,80215.2,0,"[0.853704093162382, 0.14629590683761795]"
671,Germany,Male,36,2,116695.27,1,0,0,193201.86,0,"[0.8003003245794278, 0.19969967542057226]"
592,France,Female,66,5,149950.19,1,1,1,76267.59,0,"[0.42705514424964686, 0.5729448557503531]"
638,Germany,Male,25,4,148045.45,2,1,1,114722.42,0,"[0.848247784249784, 0.15175221575021597]"
850,Germany,Male,51,4,124425.99,1,0,0,118545.49,1,"[0.8225895187225354, 0.17741048127746462]"
586,France,Male,27,5,130231.8,2,1,1,192427.16,0,"[0.8416806800733175, 0.15831931992668244]"
619,Spain,Female,38,1,0.0,1,1,0,112442.63,1,"[0.7888886429358817, 0.21111135706411827]"
564,France,Female,33,4,135946.26,1,1,0,63170.0,0,"[0.7219741519534802, 0.27802584804651975]"
809,Spain,Female,48,2,0.0,1,1,0,160976.85,1,"[0.8634194043384258, 0.13658059566157427]"
626,France,Female,35,3,0.0,1,0,0,80190.36,0,"[0.828211705979715, 0.17178829402028498]"
710,Germany,Female,62,9,148214.36,1,1,0,48571.14,1,"[0.6273780183506923, 0.3726219816493077]"
583,Germany,Female,32,7,94753.55,2,1,1,18149.03,0,"[0.7977705905878305, 0.2022294094121695]"
648,Germany,Male,33,7,135310.41,2,0,1,171668.2,0,"[0.8453433501083882, 0.1546566498916118]"
745,France,Male,36,8,67226.37,1,1,0,130789.6,0,"[0.9042888524439121, 0.09571114755608787]"
698,France,Female,27,1,94920.71,1,1,1,40339.9,0,"[0.8579075672262086, 0.14209243277379136]"
