CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn,preds
597,Germany,Female,35,8,131101.04,1,1,1,192852.67,0,"[0.7826476934243141, 0.2173523065756859, 0.0]"
523,France,Female,40,2,102967.41,1,1,0,128702.1,1,"[0.6650292861587155, 0.3349707138412845, 0.0]"
706,Spain,Female,42,8,95386.82,1,1,1,75732.25,0,"[0.8145561636482788, 0.18544383635172124, 0.0]"
788,France,Male,32,4,112079.58,1,0,0,89368.59,0,"[0.9073667389000494, 0.0926332610999506, 0.0]"
706,Germany,Male,38,5,163034.82,2,1,1,135662.17,0,"[0.8168135391668259, 0.18318646083317408, 0.0]"
670,Spain,Female,57,3,175575.95,2,1,0,99061.75,1,"[0.592894985514053, 0.40710501448594705, 0.0]"
590,Spain,Male,34,0,65812.35,2,0,1,160346.3,0,"[0.8117359274824025, 0.18826407251759744, 0.0]"
636,Spain,Female,29,6,157576.47,2,1,1,101102.39,0,"[0.8192200120450183, 0.1807799879549817, 0.0]"
598,France,Female,64,9,0.0,1,0,1,13181.37,1,"[0.5560696895911175, 0.4439303104088826, 0.0]"
456,France,Female,63,1,165350.61,2,0,0,140758.07,1,"[0.29579902109993395, 0.704200978900066, 0.0]"
498,France,Female,31,10,0.0,2,1,0,13892.57,0,"[0.7643613990829132, 0.23563860091708674, 0.0]"
714,Spain,Male,45,8,150900.29,2,0,1,139889.15,0,"[0.7832339495100348, 0.21676605048996525, 0.0]"
488,Germany,Female,33,4,140002.35,1,1,0,123613.81,0,"[0.6640356877558593, 0.33596431224414064, 0.0]"
562,Germany,Female,31,9,117153.0,1,1,1,108675.01,0,"[0.770760381164176, 0.22923961883582397, 0.0]"
772,Germany,Female,51,9,143930.92,1,0,1,46675.51,1,"[0.7687168142183325, 0.2312831857816675, 0.0]"
667,Germany,Male,55,9,154393.43,1,1,1,137674.96,1,"[0.6445052066204471, 0.35549479337955286, 0.0]"
513,France,Female,43,9,0.0,2,1,0,152499.8,0,"[0.715365570533412, 0.284634429466588, 0.0]"
675,Spain,Male,66,5,115654.47,2,1,1,131970.86,0,"[0.5681579868316896, 0.4318420131683104, 0.0]"
622,France,Female,30,4,107879.04,1,0,1,196894.62,0,"[0.8464748912811177, 0.1535251087188823, 0.0]"
551,France,Female,45,6,0.0,2,1,1,51143.43,0,"[0.7053663391597516, 0.2946336608402485, 0.0]"
663,Germany,Male,42,7,115930.87,1,1,0,19862.78,0,"[0.7517516966923815, 0.2482483033076185, 0.0]"
850,France,Male,35,2,0.0,2,1,1,56991.66,0,"[0.9432824598334739, 0.05671754016652603, 0.0]"
552,Spain,Female,34,4,0.0,2,1,0,140286.69,0,"[0.8149975818948908, 0.18500241810510923, 0.0]"
444,France,Male,34,2,144318.97,1,1,0,112668.06,0,"[0.5951015562752304, 0.4048984437247695, 0.0]"
794,France,Male,35,6,0.0,2,1,1,68730.91,0,"[0.9280238951592968, 0.07197610484070313, 0.0]"
827,Spain,Male,46,1,183276.32,1,1,1,13460.27,0,"[0.8165934287638316, 0.1834065712361684, 0.0]"
590,Spain,Female,29,2,166930.76,2,1,0,122487.73,0,"[0.7803256701257446, 0.21967432987425536, 0.0]"
492,Germany,Female,30,10,77168.87,2,0,1,146700.22,0,"[0.7513152718704716, 0.24868472812952833, 0.0]"
498,France,Female,29,9,0.0,1,1,0,190035.83,0,"[0.8197961963855345, 0.18020380361446547, 0.0]"
757,France,Female,44,4,123322.15,1,1,0,137136.29,0,"[0.8356613034591531, 0.16433869654084693, 0.0]"
626,France,Female,34,3,0.0,2,1,1,37870.29,0,"[0.8463237022890856, 0.15367629771091437, 0.0]"
655,France,Female,41,5,0.0,1,0,0,36548.0,1,"[0.8240936473178943, 0.17590635268210572, 0.0]"
483,France,Male,29,9,0.0,1,1,1,81634.45,0,"[0.7836958297596072, 0.2163041702403928, 0.0]"
663,Spain,Male,64,6,0.0,2,0,1,15876.52,0,"[0.6340545391566161, 0.36594546084338386, 0.0]"
736,France,Female,36,6,0.0,1,1,0,70496.66,0,"[0.9021213910348153, 0.09787860896518472, 0.0]"
786,Germany,Male,24,2,120135.55,2,1,1,125449.47,0,"[0.9335264685203994, 0.06647353147960051, 0.0]"
827,France,Male,38,5,0.0,2,0,0,103305.01,0,"[0.9331450847215745, 0.06685491527842541, 0.0]"
781,France,Female,27,5,0.0,2,0,0,72969.9,0,"[0.9449759636451609, 0.0550240363548391, 0.0]"
701,Spain,Male,36,8,0.0,2,1,0,169161.46,0,"[0.8996909872924663, 0.10030901270753366, 0.0]"
649,France,Female,35,4,108306.44,1,1,1,192486.24,0,"[0.8341264650648385, 0.16587353493516155, 0.0]"
574,France,Female,34,7,152992.91,1,1,1,134691.2,0,"[0.7403614341830855, 0.2596385658169145, 0.0]"
743,Spain,Male,41,7,0.0,1,1,0,163736.09,1,"[0.897885993802361, 0.10211400619763897, 0.0]"
638,Spain,Female,55,2,155828.22,1,0,1,108987.25,1,"[0.5954599207940414, 0.4045400792059586, 0.0]"
805,Germany,Male,24,6,143221.35,2,1,0,186035.72,0,"[0.9399021707365693, 0.060097829263430665, 0.0]"
625,Germany,Male,42,6,100047.33,1,1,0,93429.95,0,"[0.7460591128399543, 0.25394088716004576, 0.0]"
456,France,Male,29,5,107000.49,1,1,1,153419.62,0,"[0.703637132981637, 0.296362867018363, 0.0]"
657,Spain,Female,41,6,112119.48,1,1,0,17536.82,0,"[0.7556852830640813, 0.2443147169359187, 0.0]"
520,France,Female,29,8,95947.76,1,1,0,4696.44,0,"[0.7338967355546002, 0.2661032644453997, 0.0]"
796,France,Female,50,1,94164.0,1,1,1,189414.74,0,"[0.8496295601246141, 0.1503704398753859, 0.0]"
849,France,Male,27,0,0.0,2,0,1,157891.86,0,"[0.9643592224259263, 0.03564077757407369, 0.0]"
619,France,Female,55,0,0.0,3,0,0,60810.64,1,"[0.6842619553854801, 0.3157380446145199, 0.0]"
575,Spain,Female,22,8,105229.34,1,1,1,34397.08,0,"[0.8331153397373297, 0.1668846602626703, 0.0]"
619,France,Female,35,4,90413.12,1,1,1,20555.21,0,"[0.7827234259291017, 0.21727657407089826, 0.0]"
800,France,Male,60,6,88541.57,2,1,1,131718.12,0,"[0.7795908382901919, 0.2204091617098081, 0.0]"
783,France,Female,72,5,121215.9,2,1,1,105206.48,0,"[0.6206160521526993, 0.3793839478473006, 0.0]"
714,Spain,Female,33,10,103121.33,2,1,1,49672.01,0,"[0.8647571773313357, 0.13524282266866428, 0.0]"
701,Germany,Male,41,9,164046.1,1,1,0,49405.93,0,"[0.7716609379089245, 0.22833906209107546, 0.0]"
815,Spain,Female,39,6,0.0,1,1,1,85167.88,0,"[0.9246160852004347, 0.07538391479956527, 0.0]"
649,France,Female,45,5,92786.66,1,1,0,173365.9,1,"[0.769336760653955, 0.23066323934604502, 0.0]"
672,France,Female,40,3,0.0,1,1,0,113171.61,1,"[0.8555994317671536, 0.14440056823284636, 0.0]"
760,Germany,Male,42,0,77992.97,2,1,1,97906.38,0,"[0.8614336874475137, 0.13856631255248628, 0.0]"
668,Spain,Male,45,4,102486.21,2,1,1,158379.25,0,"[0.7763472882225111, 0.2236527117774889, 0.0]"
706,Spain,Male,38,8,0.0,2,0,1,46635.11,0,"[0.876105919744415, 0.12389408025558507, 0.0]"
626,France,Male,38,7,141074.59,1,1,0,52795.56,1,"[0.7422921372719165, 0.2577078627280835, 0.0]"
807,France,Female,47,9,167664.83,1,0,0,125440.11,1,"[0.8293725773998647, 0.1706274226001353, 0.0]"
688,France,Female,54,9,0.0,1,1,0,191212.63,1,"[0.7973904210251253, 0.2026095789748748, 0.0]"
729,France,Male,44,6,0.0,2,1,0,151733.43,0,"[0.8758410070546492, 0.12415899294535085, 0.0]"
501,France,Female,41,3,144260.5,1,1,0,172114.67,0,"[0.6104227365590551, 0.3895772634409449, 0.0]"
692,Germany,Male,24,2,120596.93,1,0,1,180490.53,0,"[0.9044812966039439, 0.09551870339605611, 0.0]"
668,Germany,Male,56,9,110993.79,1,1,0,134396.64,1,"[0.6692259079603242, 0.3307740920396757, 0.0]"
516,Spain,Female,65,9,102541.1,1,1,0,181490.42,0,"[0.4121798818393221, 0.5878201181606779, 0.0]"
675,Spain,Male,35,8,0.0,2,1,0,29062.25,0,"[0.8705876181236192, 0.1294123818763808, 0.0]"
669,France,Male,29,7,0.0,2,1,1,138145.62,0,"[0.9085618215681223, 0.09143817843187774, 0.0]"
684,Germany,Female,63,3,81245.79,1,1,0,69643.31,1,"[0.6165135446533673, 0.3834864553466327, 0.0]"
773,Spain,Female,41,5,0.0,1,1,0,28266.9,1,"[0.8931293409149008, 0.1068706590850992, 0.0]"
498,Germany,Male,25,8,121702.73,1,1,1,132210.49,0,"[0.7636604021193942, 0.23633959788060574, 0.0]"
581,France,Male,54,4,89299.81,1,0,0,5558.47,1,"[0.5595263344055663, 0.44047366559443374, 0.0]"
668,France,Male,32,7,0.0,2,1,1,777.37,0,"[0.8767479516136493, 0.12325204838635077, 0.0]"
432,France,Female,27,6,62339.81,2,0,0,53874.67,0,"[0.7000976241971865, 0.29990237580281354, 0.0]"
485,France,Female,39,2,75339.64,1,1,1,70665.16,0,"[0.6354923054236135, 0.3645076945763865, 0.0]"
683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1,"[0.5893682115460875, 0.41063178845391246, 0.0]"
477,France,Female,57,9,114023.64,2,1,1,71167.17,1,"[0.40231493542323904, 0.597685064576761, 0.0]"
701,Germany,Male,23,5,186101.18,2,1,1,76611.33,0,"[0.8767242154686248, 0.12327578453137517, 0.0]"
696,Spain,Male,41,9,127523.75,1,0,1,191417.42,0,"[0.821911296513746, 0.17808870348625402, 0.0]"
770,France,Female,70,9,110738.89,1,1,0,22666.77,1,"[0.6084650168198669, 0.3915349831801332, 0.0]"
732,Spain,Female,67,1,0.0,2,1,1,177783.04,0,"[0.7277252096957185, 0.27227479030428153, 0.0]"
657,France,Male,32,3,118829.03,2,1,1,73127.61,0,"[0.8289378498753514, 0.17106215012464862, 0.0]"
740,France,Female,37,9,0.0,2,1,1,73225.31,0,"[0.9011201004495379, 0.0988798995504621, 0.0]"
756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1,"[0.8615461410132114, 0.1384538589867886, 0.0]"
657,France,Male,38,7,0.0,2,1,0,185827.74,0,"[0.8707749348375424, 0.12922506516245752, 0.0]"
618,Germany,Female,40,1,133245.52,2,1,1,54495.82,0,"[0.7200709567000083, 0.27992904329999163, 0.0]"
629,Spain,Female,44,6,125512.98,2,0,0,79082.76,0,"[0.7105534900233028, 0.28944650997669713, 0.0]"
544,Germany,Male,39,4,142406.43,2,1,0,146637.45,0,"[0.6737403990193541, 0.3262596009806459, 0.0]"
816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1,"[0.8875694149216582, 0.11243058507834186, 0.0]"
643,France,Male,33,4,0.0,2,1,1,152992.04,0,"[0.8812947020014014, 0.11870529799859868, 0.0]"
743,Germany,Male,65,2,131935.51,1,1,1,96399.67,1,"[0.6320890485413655, 0.36791095145863445, 0.0]"
686,France,Female,31,1,0.0,2,1,0,4802.25,0,"[0.8894328990403817, 0.1105671009596183, 0.0]"
834,France,Female,28,6,0.0,1,1,0,74287.53,0,"[0.955588789727857, 0.044411210272143065, 0.0]"
689,Spain,Female,40,5,154251.67,1,0,1,118319.5,0,"[0.7903272525155283, 0.20967274748447176, 0.0]"
723,Germany,Female,28,5,91938.31,1,1,0,143481.85,0,"[0.9072353285154785, 0.09276467148452147, 0.0]"
639,France,Male,22,4,0.0,2,1,0,28188.96,0,"[0.9078158962679352, 0.09218410373206475, 0.0]"
588,Germany,Male,35,3,104356.38,1,1,0,94498.82,0,"[0.764814342630342, 0.23518565736965796, 0.0]"
672,France,Male,39,2,0.0,2,1,0,87372.49,0,"[0.8564598576383028, 0.14354014236169718, 0.0]"
643,France,Female,33,0,137811.75,1,1,1,184856.89,0,"[0.8245855358932469, 0.17541446410675307, 0.0]"
780,Spain,Male,47,7,86006.21,1,1,1,37973.13,0,"[0.8333718433920307, 0.1666281566079692, 0.0]"
706,France,Female,35,8,178032.53,1,0,1,42181.68,0,"[0.8092222126046092, 0.19077778739539078, 0.0]"
613,Germany,Male,28,7,76656.4,2,1,1,185483.24,0,"[0.8644185237962753, 0.13558147620372477, 0.0]"
542,France,Male,38,8,65942.26,1,1,1,68093.23,1,"[0.7172061399334593, 0.2827938600665408, 0.0]"
684,France,Male,45,6,148071.39,1,1,0,183575.01,0,"[0.7688147908713441, 0.23118520912865595, 0.0]"
818,France,Female,31,1,186796.37,1,0,0,178252.63,0,"[0.9112293591267002, 0.08877064087329978, 0.0]"
562,France,Male,38,5,0.0,1,1,0,115700.2,0,"[0.7902024329899793, 0.20979756701002078, 0.0]"
576,France,Female,52,9,170228.59,2,0,0,148477.57,1,"[0.5569661207923882, 0.4430338792076119, 0.0]"
556,Spain,Male,46,3,131764.96,1,1,1,108500.66,1,"[0.6131845282520281, 0.3868154717479719, 0.0]"
706,Spain,Male,68,4,114386.85,1,1,1,28601.68,0,"[0.5485882143536501, 0.4514117856463499, 0.0]"
666,Germany,Female,50,7,109062.28,1,1,1,140136.1,1,"[0.7247885417805942, 0.27521145821940585, 0.0]"
503,France,Female,28,5,0.0,2,1,0,125918.17,0,"[0.815057747816474, 0.18494225218352606, 0.0]"
710,Germany,Female,24,7,103099.17,2,1,0,173276.62,0,"[0.9167518445287842, 0.0832481554712158, 0.0]"
612,Germany,Male,76,6,96166.88,1,1,1,191393.26,0,"[0.41941776648391105, 0.580582233516089, 0.0]"
580,Spain,Male,61,8,125921.37,1,1,1,94677.83,0,"[0.48357141439513274, 0.5164285856048673, 0.0]"
